datetime,Nino12,Nino12anom,Nino3,Nino3anom,Nino4,Nino4anom,Nino34,Nino34anom,month,Nino34_degK
1982-01-01,24.29,-0.17,25.87,0.24,28.3,0.0,26.72,0.15,1,299.87
1982-02-01,25.49,-0.58,26.38,0.01,28.21,0.11,26.7,-0.02,2,299.84999999999997
1982-03-01,25.21,-1.31,26.98,-0.16,28.41,0.22,27.2,-0.02,3,300.34999999999997
1982-04-01,24.5,-0.97,27.68,0.18,28.92,0.42,28.02,0.24,4,301.16999999999996
1982-05-01,23.97,-0.23,27.79,0.71,29.49,0.7,28.54,0.69,5,301.69
1982-06-01,22.89,0.07,27.46,1.03,29.76,0.92,28.75,1.1,6,301.9
1982-07-01,22.47,0.87,26.44,0.82,29.38,0.58,28.1,0.88,7,301.25
1982-08-01,21.75,1.1,26.15,1.16,29.04,0.36,27.93,1.11,8,301.08
1982-09-01,21.8,1.44,26.52,1.67,29.16,0.47,28.11,1.39,9,301.26
1982-10-01,22.94,2.12,27.11,2.19,29.38,0.72,28.64,1.95,10,301.78999999999996
1982-11-01,24.59,3.0,27.62,2.64,29.23,0.6,28.81,2.16,11,301.96
1982-12-01,26.13,3.34,28.39,3.25,29.15,0.66,29.21,2.64,12,302.35999999999996
1983-01-01,27.42,2.96,28.92,3.29,29.0,0.7,29.36,2.79,1,302.51
1983-02-01,28.09,2.02,28.92,2.55,28.79,0.69,29.13,2.41,2,302.28
1983-03-01,28.68,2.16,29.1,1.96,28.76,0.57,29.03,1.81,3,302.17999999999995
1983-04-01,28.56,3.09,29.12,1.62,28.85,0.35,28.91,1.13,4,302.06
1983-05-01,28.19,3.99,28.97,1.89,29.08,0.29,28.89,1.04,5,302.03999999999996
1983-06-01,27.44,4.62,28.15,1.72,28.88,0.04,28.24,0.59,6,301.39
1983-07-01,25.95,4.35,26.62,1.0,28.65,-0.15,27.07,-0.15,7,300.21999999999997
1983-08-01,23.78,3.13,25.87,0.88,28.38,-0.3,26.53,-0.29,8,299.67999999999995
