"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","MDPR","PRCP","TAVG","WT01","WT03","WT04","WT05","WT06","WT11"
"US1COBO0306","40.10444444","-105.1438889","1567.0","2013-09-09","    3","0.06","0.00",,,,,,,
"US1COBO0306","40.10444444","-105.1438889","1567.0","2013-09-10",,,"0.94",,,,,,,
"US1COBO0306","40.10444444","-105.1438889","1567.0","2013-09-14","    4","5.87",,,,,,,,
"US1COBO0306","40.10444444","-105.1438889","1567.0","2013-09-17","    3","1.69",,,,,,,,
"US1COBO0305","40.136884","-105.155356","1545.0","2013-09-09",,,"0.00",,,,,,,
"US1COBO0305","40.136884","-105.155356","1545.0","2013-09-10",,,"1.05",,,,,,,
"US1COBO0305","40.136884","-105.155356","1545.0","2013-09-11",,,"0.30",,,,,,,
"US1COBO0305","40.136884","-105.155356","1545.0","2013-09-12",,,"3.06",,,,,,,
"US1COBO0305","40.136884","-105.155356","1545.0","2013-09-13",,,"1.78",,,,,,,
"US1COBO0305","40.136884","-105.155356","1545.0","2013-09-14",,,"0.05",,,,,,,
"US1COBO0305","40.136884","-105.155356","1545.0","2013-09-15",,,"0.00",,,,,,,
"US1COBO0305","40.136884","-105.155356","1545.0","2013-09-16",,,"1.17",,,,,,,
"US1COBO0305","40.136884","-105.155356","1545.0","2013-09-17",,,"0.00",,,,,,,
"US1COBO0305","40.136884","-105.155356","1545.0","2013-09-18",,,"0.00",,,,,,,
"US1COBO0149","40.1945","-105.0905","1542.9","2013-09-09",,,"0.00",,,,,,,
"US1COBO0149","40.1945","-105.0905","1542.9","2013-09-10",,,"1.59",,,,,,,
"US1COBO0149","40.1945","-105.0905","1542.9","2013-09-11",,,"0.30",,,,,,,
"US1COBO0149","40.1945","-105.0905","1542.9","2013-09-12",,,"2.40",,,,,,,
"US1COBO0149","40.1945","-105.0905","1542.9","2013-09-13",,,"0.76",,,,,,,
"US1COBO0149","40.1945","-105.0905","1542.9","2013-09-14",,,"0.04",,,,,,,
"US1COBO0149","40.1945","-105.0905","1542.9","2013-09-15",,,"0.00",,,,,,,
"US1COBO0149","40.1945","-105.0905","1542.9","2013-09-16",,,"1.48",,,,,,,
"US1COBO0149","40.1945","-105.0905","1542.9","2013-09-17",,,"0.00",,,,,,,
"US1COBO0149","40.1945","-105.0905","1542.9","2013-09-18",,,"0.00",,,,,,,
"US1COAD0138","39.898141","-105.04522","1605.4","2013-09-09","    3","0.00","0.00",,,,,,,
"US1COAD0138","39.898141","-105.04522","1605.4","2013-09-10",,,"0.83",,,,,,,
"US1COAD0138","39.898141","-105.04522","1605.4","2013-09-11",,,"0.57",,,,,,,
"US1COAD0138","39.898141","-105.04522","1605.4","2013-09-12",,,"1.79",,,,,,,
"US1COAD0138","39.898141","-105.04522","1605.4","2013-09-13",,,"0.60",,,,,,,
"US1COAD0138","39.898141","-105.04522","1605.4","2013-09-16","    3","1.70",,,,,,,,
"US1COAD0138","39.898141","-105.04522","1605.4","2013-09-17",,,"0.01",,,,,,,
"US1COAD0138","39.898141","-105.04522","1605.4","2013-09-18",,,"0.00",,,,,,,
"US1COBO0308","40.145749","-105.390472","2366.5","2013-09-09",,,"0.00",,,,,,,
"US1COBO0308","40.145749","-105.390472","2366.5","2013-09-10",,,"1.52",,,,,,,
"US1COBO0308","40.145749","-105.390472","2366.5","2013-09-11",,,"1.98",,,,,,,
"US1COBO0308","40.145749","-105.390472","2366.5","2013-09-17","    6","10.76",,,,,,,,
"US1COJF0004","39.8748","-105.1057","1655.1","2013-09-09",,,"0.00",,,,,,,
"US1COJF0004","39.8748","-105.1057","1655.1","2013-09-10",,,"0.65",,,,,,,
"US1COJF0004","39.8748","-105.1057","1655.1","2013-09-11",,,"0.57",,,,,,,
"US1COJF0004","39.8748","-105.1057","1655.1","2013-09-12",,,"2.72",,,,,,,
"US1COWE0209","40.0679","-105.0293","1549.0","2013-09-09",,,"0.00",,,,,,,
"US1COWE0209","40.0679","-105.0293","1549.0","2013-09-10",,,"0.75",,,,,,,
"US1COWE0209","40.0679","-105.0293","1549.0","2013-09-11",,,"0.62",,,,,,,
"US1COWE0209","40.0679","-105.0293","1549.0","2013-09-12",,,"3.83",,,,,,,
"US1COWE0209","40.0679","-105.0293","1549.0","2013-09-13",,,"0.85",,,,,,,
"US1COWE0209","40.0679","-105.0293","1549.0","2013-09-14",,,"0.05",,,,,,,
"US1COWE0209","40.0679","-105.0293","1549.0","2013-09-15",,,"0.14",,,,,,,
"US1COWE0209","40.0679","-105.0293","1549.0","2013-09-16",,,"2.54",,,,,,,
"US1COWE0209","40.0679","-105.0293","1549.0","2013-09-17",,,"0.01",,,,,,,
"US1COWE0209","40.0679","-105.0293","1549.0","2013-09-18",,,"0.00",,,,,,,
"US1COJF0240","39.817103","-105.177416","1706.6","2013-09-09",,,"0.00",,,,,,,
"US1COJF0240","39.817103","-105.177416","1706.6","2013-09-10",,,"0.88",,,,,,,
"US1COJF0240","39.817103","-105.177416","1706.6","2013-09-11",,,"0.93",,,,,,,
"US1COJF0240","39.817103","-105.177416","1706.6","2013-09-12",,,"1.70",,,,,,,
"US1COJF0240","39.817103","-105.177416","1706.6","2013-09-13",,,"2.44",,,,,,,
"US1COJF0240","39.817103","-105.177416","1706.6","2013-09-14",,,"0.27",,,,,,,
"US1COJF0240","39.817103","-105.177416","1706.6","2013-09-15",,,"0.18",,,,,,,
"US1COJF0240","39.817103","-105.177416","1706.6","2013-09-16",,,"0.35",,,,,,,
"US1COJF0240","39.817103","-105.177416","1706.6","2013-09-17",,,"0.01",,,,,,,
"US1COJF0240","39.817103","-105.177416","1706.6","2013-09-18",,,"0.00",,,,,,,
"US1COBO0261","40.180185","-105.154111","1534.7","2013-09-09","    4","0.00","0.00",,,,,,,
"US1COBO0261","40.180185","-105.154111","1534.7","2013-09-10",,,"1.12",,,,,,,
"US1COBO0261","40.180185","-105.154111","1534.7","2013-09-11",,,"0.23",,,,,,,
"US1COBO0261","40.180185","-105.154111","1534.7","2013-09-12",,,"1.78",,,,,,,
"US1COBO0261","40.180185","-105.154111","1534.7","2013-09-17","    5","3.44",,,,,,,,
"US1COBO0261","40.180185","-105.154111","1534.7","2013-09-18",,,"0.02",,,,,,,
"US1COBO0144","40.138","-105.1475","1539.8","2013-09-09",,,"0.00",,,,,,,
"US1COBO0144","40.138","-105.1475","1539.8","2013-09-10",,,"1.03",,,,,,,
"US1COBO0144","40.138","-105.1475","1539.8","2013-09-11",,,"0.34",,,,,,,
"US1COBO0144","40.138","-105.1475","1539.8","2013-09-12",,,"2.71",,,,,,,
"US1COBO0144","40.138","-105.1475","1539.8","2013-09-13",,,"1.71",,,,,,,
"US1COBO0144","40.138","-105.1475","1539.8","2013-09-14",,,"0.05",,,,,,,
"US1COBO0144","40.138","-105.1475","1539.8","2013-09-15",,,"0.00",,,,,,,
"US1COBO0144","40.138","-105.1475","1539.8","2013-09-16",,,"1.06",,,,,,,
"US1COBO0144","40.138","-105.1475","1539.8","2013-09-17",,,"0.01",,,,,,,
"US1COBO0144","40.138","-105.1475","1539.8","2013-09-18",,,"0.00",,,,,,,
"US1COBO0143","40.2001","-105.1087","1538.9","2013-09-09",,,"0.00",,,,,,,
"US1COBO0143","40.2001","-105.1087","1538.9","2013-09-10",,,"1.29",,,,,,,
"US1COBO0143","40.2001","-105.1087","1538.9","2013-09-11",,,"0.30",,,,,,,
"US1COBO0143","40.2001","-105.1087","1538.9","2013-09-12",,,"1.94",,,,,,,
"US1COBO0143","40.2001","-105.1087","1538.9","2013-09-13",,,"0.89",,,,,,,
"US1COBO0143","40.2001","-105.1087","1538.9","2013-09-14",,,"0.02",,,,,,,
"US1COBO0143","40.2001","-105.1087","1538.9","2013-09-15",,,"0.00",,,,,,,
"US1COBO0143","40.2001","-105.1087","1538.9","2013-09-16",,,"1.54",,,,,,,
"US1COBO0143","40.2001","-105.1087","1538.9","2013-09-17",,,"0.00",,,,,,,
"US1COBO0143","40.2001","-105.1087","1538.9","2013-09-18",,,"0.01",,,,,,,
"US1COBO0146","40.226333","-105.266667","1645.6","2013-09-09",,,"0.00",,,,,,,
"US1COBO0146","40.226333","-105.266667","1645.6","2013-09-10",,,"1.11",,,,,,,
"US1COBO0146","40.226333","-105.266667","1645.6","2013-09-11",,,"0.52",,,,,,,
"US1COBO0146","40.226333","-105.266667","1645.6","2013-09-12",,,"3.64",,,,,,,
"US1COBO0146","40.226333","-105.266667","1645.6","2013-09-13",,,"2.38",,,,,,,
"US1COBO0146","40.226333","-105.266667","1645.6","2013-09-14",,,"0.04",,,,,,,
"US1COBO0146","40.226333","-105.266667","1645.6","2013-09-15",,,"0.04",,,,,,,
"US1COBO0146","40.226333","-105.266667","1645.6","2013-09-16",,,"1.69",,,,,,,
"US1COBO0146","40.226333","-105.266667","1645.6","2013-09-17",,,"0.02",,,,,,,
"US1COBO0146","40.226333","-105.266667","1645.6","2013-09-18",,,"0.00",,,,,,,
"US1COBO0024","39.9877","-105.1468","1681.9","2013-09-09",,,"0.00",,,,,,,
"US1COBO0024","39.9877","-105.1468","1681.9","2013-09-11",,,"0.67",,,,,,,
"US1COBO0024","39.9877","-105.1468","1681.9","2013-09-12",,,"3.83",,,,,,,
"US1COBO0024","39.9877","-105.1468","1681.9","2013-09-13",,,"2.23",,,,,,,
"US1COBO0024","39.9877","-105.1468","1681.9","2013-09-14",,,"0.06",,,,,,,
"US1COBO0024","39.9877","-105.1468","1681.9","2013-09-15",,,"0.06",,,,,,,
"US1COBO0024","39.9877","-105.1468","1681.9","2013-09-16",,,"1.49",,,,,,,
"US1COBO0024","39.9877","-105.1468","1681.9","2013-09-17",,,"0.05",,,,,,,
"US1COBO0024","39.9877","-105.1468","1681.9","2013-09-18",,,"0.00",,,,,,,
"US1COBO0266","39.989316","-105.11106","1609.6","2013-09-09",,,"0.00",,,,,,,
"US1COBO0266","39.989316","-105.11106","1609.6","2013-09-10",,,"0.92",,,,,,,
"US1COBO0266","39.989316","-105.11106","1609.6","2013-09-11",,,"0.61",,,,,,,
"US1COBO0266","39.989316","-105.11106","1609.6","2013-09-12",,,"3.86",,,,,,,
"US1COBO0266","39.989316","-105.11106","1609.6","2013-09-13",,,"1.06",,,,,,,
"US1COBO0266","39.989316","-105.11106","1609.6","2013-09-14",,,"0.08",,,,,,,
"US1COBO0266","39.989316","-105.11106","1609.6","2013-09-15",,,"0.38",,,,,,,
"US1COBO0266","39.989316","-105.11106","1609.6","2013-09-16",,,"1.31",,,,,,,
"US1COBO0266","39.989316","-105.11106","1609.6","2013-09-17",,,"0.02",,,,,,,
"US1COBO0266","39.989316","-105.11106","1609.6","2013-09-18",,,"0.00",,,,,,,
"USC00051681","39.8958","-105.3847","2728.0","2013-09-09",,,"0.94",,"    1","    1",,,,
"USC00051681","39.8958","-105.3847","2728.0","2013-09-10",,,"0.90",,"    1",,,,,
"USC00051681","39.8958","-105.3847","2728.0","2013-09-11",,,"2.40",,"    1","    1",,,,
"USC00051681","39.8958","-105.3847","2728.0","2013-09-12",,,"2.64",,"    1","    1",,,,
"USC00051681","39.8958","-105.3847","2728.0","2013-09-13",,,"1.08",,"    1","    1",,"    1",,
"USC00051681","39.8958","-105.3847","2728.0","2013-09-14",,,"0.14",,,"    1",,,,
"USC00051681","39.8958","-105.3847","2728.0","2013-09-15",,,"1.20",,"    1",,,,,
"USC00051681","39.8958","-105.3847","2728.0","2013-09-16",,,"0.01",,"    1",,,,,
"USC00051681","39.8958","-105.3847","2728.0","2013-09-17",,,"0.00",,,,,,,
"USC00051681","39.8958","-105.3847","2728.0","2013-09-18",,,"0.00",,,"    1",,,,
"USW00094075","40.0354","-105.5409","2995.6","2013-09-09",,,"1.48",,,,,,,
"USW00094075","40.0354","-105.5409","2995.6","2013-09-10",,,"1.29",,,,,,,
"USW00094075","40.0354","-105.5409","2995.6","2013-09-11",,,"2.05",,,,,,,
"USW00094075","40.0354","-105.5409","2995.6","2013-09-12",,,"2.38",,,,,,,
"USW00094075","40.0354","-105.5409","2995.6","2013-09-13",,,"0.14",,,,,,,
"USW00094075","40.0354","-105.5409","2995.6","2013-09-14",,,"0.12",,,,,,,
"USW00094075","40.0354","-105.5409","2995.6","2013-09-15",,,"0.90",,,,,,,
"USW00094075","40.0354","-105.5409","2995.6","2013-09-16",,,"0.00",,,,,,,
"USW00094075","40.0354","-105.5409","2995.6","2013-09-17",,,"0.00",,,,,,,
"USW00094075","40.0354","-105.5409","2995.6","2013-09-18",,,"0.00",,,,,,,
"US1COJF0072","39.8826","-105.1056","1656.9","2013-09-09",,,"0.00",,,,,,,
"US1COJF0072","39.8826","-105.1056","1656.9","2013-09-10",,,"0.61",,,,,,,
"US1COJF0072","39.8826","-105.1056","1656.9","2013-09-11",,,"0.56",,,,,,,
"US1COJF0072","39.8826","-105.1056","1656.9","2013-09-12",,,"2.55",,,,,,,
"US1COJF0072","39.8826","-105.1056","1656.9","2013-09-13",,,"0.96",,,,,,,
"US1COJF0072","39.8826","-105.1056","1656.9","2013-09-14",,,"0.10",,,,,,,
"US1COJF0072","39.8826","-105.1056","1656.9","2013-09-15",,,"0.10",,,,,,,
"US1COJF0072","39.8826","-105.1056","1656.9","2013-09-16",,,"1.60",,,,,,,
"US1COJF0072","39.8826","-105.1056","1656.9","2013-09-17",,,"0.05",,,,,,,
"US1COJF0072","39.8826","-105.1056","1656.9","2013-09-18",,,"0.00",,,,,,,
"US1COBO0030","39.9915","-105.2403","1636.2","2013-09-09",,,"0.00",,,,,,,
"US1COBO0030","39.9915","-105.2403","1636.2","2013-09-10",,,"1.27",,,,,,,
"US1COBO0030","39.9915","-105.2403","1636.2","2013-09-11",,,"1.28",,,,,,,
"US1COBO0030","39.9915","-105.2403","1636.2","2013-09-12",,,"7.73",,,,,,,
"US1COBO0030","39.9915","-105.2403","1636.2","2013-09-13",,,"5.30",,,,,,,
"US1COBO0030","39.9915","-105.2403","1636.2","2013-09-14",,,"0.12",,,,,,,
"US1COBO0030","39.9915","-105.2403","1636.2","2013-09-15",,,"0.20",,,,,,,
"US1COBO0030","39.9915","-105.2403","1636.2","2013-09-16",,,"2.04",,,,,,,
"US1COBO0030","39.9915","-105.2403","1636.2","2013-09-17",,,"0.02",,,,,,,
"US1COBO0030","39.9915","-105.2403","1636.2","2013-09-18",,,"0.00",,,,,,,
"US1COBO0150","40.1421","-105.1179","1523.1","2013-09-09",,,"0.00",,,,,,,
"US1COBO0150","40.1421","-105.1179","1523.1","2013-09-10",,,"1.26",,,,,,,
"US1COBO0150","40.1421","-105.1179","1523.1","2013-09-11",,,"0.43",,,,,,,
"US1COBO0150","40.1421","-105.1179","1523.1","2013-09-12",,,"2.55",,,,,,,
"US1COBO0150","40.1421","-105.1179","1523.1","2013-09-13",,,"1.04",,,,,,,
"US1COBO0150","40.1421","-105.1179","1523.1","2013-09-14",,,"0.02",,,,,,,
"US1COBO0150","40.1421","-105.1179","1523.1","2013-09-15",,,"0.01",,,,,,,
"US1COBO0150","40.1421","-105.1179","1523.1","2013-09-16",,,"1.03",,,,,,,
"US1COBO0150","40.1421","-105.1179","1523.1","2013-09-17",,,"0.00",,,,,,,
"US1COBO0150","40.1421","-105.1179","1523.1","2013-09-18",,,"0.00",,,,,,,
"US1COBO0271","40.03737","-105.079923","1575.5","2013-09-09",,,"0.00",,,,,,,
"US1COBO0271","40.03737","-105.079923","1575.5","2013-09-10",,,"0.84",,,,,,,
"US1COBO0271","40.03737","-105.079923","1575.5","2013-09-11",,,"0.63",,,,,,,
"US1COBO0271","40.03737","-105.079923","1575.5","2013-09-12",,,"3.69",,,,,,,
"US1COBO0271","40.03737","-105.079923","1575.5","2013-09-17","    5","2.74",,,,,,,,
"USC00053629","39.9363","-105.3502","2429.3","2013-09-09",,,"0.00",,,,,,,
"USC00053629","39.9363","-105.3502","2429.3","2013-09-10",,,"1.22",,,,,,,
"USC00053629","39.9363","-105.3502","2429.3","2013-09-11",,,"1.34",,,,,,,
"USC00053629","39.9363","-105.3502","2429.3","2013-09-12",,,"6.07",,,,,,,
"USC00053629","39.9363","-105.3502","2429.3","2013-09-13",,,"3.40",,,,,,,
"USC00053629","39.9363","-105.3502","2429.3","2013-09-14",,,"0.20",,,,,,,
"USC00053629","39.9363","-105.3502","2429.3","2013-09-15",,,"0.34",,,,,,,
"USC00053629","39.9363","-105.3502","2429.3","2013-09-16",,,"1.13",,,,,,,
"USC00053629","39.9363","-105.3502","2429.3","2013-09-17",,,"0.00",,,,,,,
"USC00053629","39.9363","-105.3502","2429.3","2013-09-18",,,"0.00",,,,,,,
"USR0000CBDR","40.0181","-105.3614","2052.2","2013-09-09",,,,"63",,,,,,
"USR0000CBDR","40.0181","-105.3614","2052.2","2013-09-10",,,,"56",,,,,,
"USR0000CBDR","40.0181","-105.3614","2052.2","2013-09-11",,,,"56",,,,,,
"USR0000CBDR","40.0181","-105.3614","2052.2","2013-09-12",,,,"56",,,,,,
"USR0000CBDR","40.0181","-105.3614","2052.2","2013-09-13",,,,"58",,,,,,
"USR0000CBDR","40.0181","-105.3614","2052.2","2013-09-14",,,,"57",,,,,,
"USR0000CBDR","40.0181","-105.3614","2052.2","2013-09-15",,,,"53",,,,,,
"USR0000CBDR","40.0181","-105.3614","2052.2","2013-09-16",,,,"57",,,,,,
"USR0000CBDR","40.0181","-105.3614","2052.2","2013-09-17",,,,"66",,,,,,
"USR0000CBDR","40.0181","-105.3614","2052.2","2013-09-18",,,,"65",,,,,,
"US1COBO0033","39.9735","-105.238","1673.0","2013-09-09",,,"0.00",,,,,,,
"US1COBO0033","39.9735","-105.238","1673.0","2013-09-17",,,"0.00",,,,,,,
"US1COBO0033","39.9735","-105.238","1673.0","2013-09-18",,,"0.00",,,,,,,
"USS0005J42S","40.04","-105.54","3020.6","2013-09-09",,,"1.30","50",,,,,,
"USS0005J42S","40.04","-105.54","3020.6","2013-09-10",,,"1.30","48",,,,,,
"USS0005J42S","40.04","-105.54","3020.6","2013-09-11",,,"2.10","48",,,,,,
"USS0005J42S","40.04","-105.54","3020.6","2013-09-12",,,"2.30","48",,,,,,
"USS0005J42S","40.04","-105.54","3020.6","2013-09-13",,,"0.00","48",,,,,,
"USS0005J42S","40.04","-105.54","3020.6","2013-09-14",,,"0.20","46",,,,,,
"USS0005J42S","40.04","-105.54","3020.6","2013-09-15",,,"1.00","44",,,,,,
"USS0005J42S","40.04","-105.54","3020.6","2013-09-16",,,"0.00","46",,,,,,
