,LATITUDE,LONGITUDE,PRCP
7,40.136884,-105.155356,3.06
17,40.1945,-105.0905,2.4
27,39.898141,-105.04522,1.79
39,39.8748,-105.1057,2.72
43,40.0679,-105.0293,3.83
53,39.817103,-105.177416,1.7
63,40.180185,-105.154111,1.78
69,40.138,-105.1475,2.71
79,40.2001,-105.1087,1.94
89,40.226333,-105.266667,3.64
98,39.9877,-105.1468,3.83
108,39.989316,-105.11106,3.86
118,39.8958,-105.3847,2.64
128,40.0354,-105.5409,2.38
138,39.8826,-105.1056,2.55
148,39.9915,-105.2403,7.73
158,40.1421,-105.1179,2.55
168,40.03737,-105.079923,3.69
173,39.9363,-105.3502,6.07
196,40.04,-105.54,2.3
206,39.896369934082,-105.027557373047,1.73
218,40.0397,-105.2778,8.02
228,39.8142433166504,-105.150993347168,2.02
238,39.8153,-105.1533,1.64
248,39.98959,-105.170205,5.05
252,39.9742,-105.152,4.08
261,39.964607,-105.236213,4.98
274,39.878193,-105.036363,1.52
284,40.0124,-105.2307,8.33
294,39.977,-105.2576,6.52
304,40.0613,-105.2858,6.72
314,40.0414439,-105.0729374,3.56
324,39.9707,-105.2505,5.09
334,40.1103,-105.4391,4.54
344,39.96605,-105.51248,2.51
354,40.032633,-105.2463,7.97
364,40.0022315979004,-105.254951477051,7.38
373,40.138003,-105.165157,3.37
383,40.104343,-105.160483,4.49
393,40.045474,-105.267932,8.43
403,39.817356,-105.155029,2.32
422,39.8239,-105.1823,3.15
430,39.8713,-105.0677,1.84
437,39.8502,-105.1009,2.79
447,40.0176745,-105.1287757,4.01
457,40.063781,-105.044091,3.07
467,40.1498792,-105.1519936,3.08
477,39.99083,-105.2557,7.0
486,40.1439944,-105.1736708,3.81
495,39.9892,-105.445,2.85
506,40.0686,-105.1813,4.3
514,39.97141,-105.39681,4.28
524,39.983755,-105.24333,6.7
531,40.0432929992676,-105.255088806152,7.4
541,39.822734,-105.122096,2.46
550,39.9881439208984,-105.045303344727,3.47
559,39.9919,-105.2667,9.08
569,39.999614,-105.179377,5.87
579,40.17241,-105.05923,1.11
588,39.983686,-105.1492,4.42
598,40.0591,-105.1717,4.33
608,39.995349,-105.124674,4.05
616,40.017156,-105.135335,3.94
629,40.1832,-105.1516,1.51
639,40.1853,-105.0636,2.03
646,39.907354,-105.379737,4.87
655,39.9055099487305,-105.057167053223,1.81
665,39.8297,-105.2352,1.5
675,39.93382,-105.091588,2.21
683,39.930679,-105.108266,2.32
693,39.927074,-105.07429,1.83
703,39.951348,-105.032886,2.97
712,39.9638,-105.2147,5.24
720,40.0242,-105.2689,8.87
730,39.977077,-105.425978,3.27
740,40.1848,-105.082,2.54
750,40.0786,-105.1808,4.41
758,40.080244,-105.359066,5.71
768,40.0027,-105.141,4.21
777,39.986,-105.4848,2.74
787,39.92793333,-105.1542361,2.5
797,39.99498,-105.474262,2.63
807,39.973281,-105.427878,2.85
817,39.9769111722708,-105.147400572896,3.62
826,40.0311,-105.2883,8.03
836,39.9925,-105.1057,3.4
846,40.102041,-105.198728,5.01
856,39.906,-105.0571,1.79
865,39.9033508300781,-105.462768554688,1.52
875,40.1951,-105.1323,1.91
885,39.9977,-105.0892,3.21
890,39.957167,-105.1865,4.62
900,40.0132,-105.2064,8.67
907,40.002621,-105.471881,2.7
916,39.9941,-105.2573,7.2
926,39.935,-105.0845,1.96
936,39.8947,-105.0646,2.0
944,39.8988,-105.0133,1.88
954,40.0046,-105.1715,5.17
963,39.88175,-105.390301,2.92
973,39.9914,-105.098,3.3
983,39.9588,-105.5026,2.15
990,39.9216,-105.4997,2.05
1000,40.177776,-105.137842,1.78
1010,40.1998,-105.1785,1.74
1019,39.90653333,-105.5110667,1.35
1029,39.831025,-105.122874,2.04
1039,39.9922,-105.2647,7.3
1049,39.9873,-105.1703,5.38
